Plane 68: Normal=<Point.Point object at 0x73770777efc0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 109: Normal=<Point.Point object at 0x73770778ecf0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 69: Normal=<Point.Point object at 0x73770777f140>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 110: Normal=<Point.Point object at 0x73770778ee70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 70: Normal=<Point.Point object at 0x73770777f2c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 111: Normal=<Point.Point object at 0x73770778eff0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 71: Normal=<Point.Point object at 0x73770777f440>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 112: Normal=<Point.Point object at 0x73770778f170>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 72: Normal=<Point.Point object at 0x73770777f5c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 113: Normal=<Point.Point object at 0x73770778f2f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 73: Normal=<Point.Point object at 0x73770777f740>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 114: Normal=<Point.Point object at 0x73770778f470>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 74: Normal=<Point.Point object at 0x73770777f8c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 115: Normal=<Point.Point object at 0x73770778f5f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 75: Normal=<Point.Point object at 0x73770777fa40>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 116: Normal=<Point.Point object at 0x73770778f770>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 76: Normal=<Point.Point object at 0x73770777fbc0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 117: Normal=<Point.Point object at 0x73770778f8f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 77: Normal=<Point.Point object at 0x73770777fd40>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 118: Normal=<Point.Point object at 0x73770778fa70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 78: Normal=<Point.Point object at 0x73770777fec0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 119: Normal=<Point.Point object at 0x73770778fbf0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
